y,text,text_pt,processed_text,sentiment_label
neutral,In 2005 the bank posted a net profit of Lt 8.2 mn .,"Em 2005, o banco registrou um lucro líquido de Lt 8,2 milhões.",bank post net profit lt mn,2
neutral,Rental of building equipment accounted for 88 percent of the operating income .,O aluguel de equipamentos de construção foi responsável por 88% da receita operacional.,rental building equipment account percent operate income,2
positive,Previously the company has estimated its operating profit to reach the level of 2005 only .,"Anteriormente, a empresa estimou seu lucro operacional para atingir o nível de 2005 apenas.",previously company estimate operating profit reach level,0
neutral,Panostaja is a financially secure Finnish multi-field corporation that creates healthy companies and company entities .,Panostaja é uma empresa finlandesa com segurança financeira que cria empresas e entidades empresariais saudáveis.,panostaja financially secure finnish multifield corporation create healthy company company entity,2
neutral,The Kyroskoski investment is to be completed in late 2011 and the +_+∆nekoski investment in the spring of 2012 .,O investimento em Kyroskoski será concluído no final de 2011 e o investimento em + _ + ∆nekoski na primavera de 2012.,kyroskoski investment complete late nekoski investment spring,2
positive,It is now the leading private road ambulance service company in Finland .,É agora a empresa privada líder em serviços de ambulância rodoviária na Finlândia.,lead private road ambulance service company finland,0
neutral,"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .","As marcas da Cargotec, Hiab, Kalmar e MacGREGOR, são líderes de mercado global em seus campos e suas soluções são usadas em terra e no mar - onde quer que a carga esteja em movimento.",cargotec brand hiab kalmar macgregor global market leader field solution use land sea wherever cargo move,2
positive,"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .","A nova operação vem fortalecendo a parceria da Telemig Celular com a Tecnomen, iniciada desde o início das operações de pré-pago da Telemig.",new deal strengthen partnership telemig celular tecnomen start since begin telemig prepay operation,0
neutral,This is the company 's first contract abroad .,Este é o primeiro contrato da empresa no exterior.,company first contract abroad,2
neutral,The phones are targeted at first time users in growth markets .,Os telefones são direcionados aos usuários iniciantes em mercados em crescimento.,phone target first time user growth market,2
neutral,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,Incap Contract Manufacturing é uma subsidiária da Incap Corporation of Finland.,incap contract manufacture subsidiary incap corporation finland,2
